81:174,172,204,50,100,56,195,181,237,96
399:174,22,69,204,98,64,195,79,28,12
890:183,96,79,173,318,22,56,64,202,191
385:174,483,480,64,23,318,191,603,496,12
751:195,69,176,173,22,64,423,183,318,12
34:302,313,750,307,310,328,272,300,327,269
194:172,98,64,195,79,210,56,96,196,50
325:174,64,191,483,479,56,183,318,204,89
414:315,258,333,316,307,268,271,269,100,12
730:181,174,172,237,98,222,117,204,96,173
560:174,98,172,56,195,176,50,64,180,479
886:172,96,204,183,318,69,210,12,168,202
355:331,327,333,332,302,271,313,315,301,300
606:98,210,79,50,318,173,12,191,496,228
595:100,237,174,172,1,98,7,204,117,64
478:174,98,172,56,69,195,96,22,210,173
489:333,258,328,269,310,323,294,268,301,100
672:237,111,742,125,15,121,1,117,100,118
402:174,172,98,195,64,56,79,318,176,173
830:204,195,79,176,96,64,318,56,168,89
739:174,172,98,204,318,64,176,210,183,423
392:195,204,176,89,56,183,168,210,64,96
907:174,204,195,56,181,64,69,210,176,183
648:50,69,56,64,318,12,28,132,196,197
29:174,56,64,483,318,172,479,100,50,197
166:307,333,272,748,294,302,315,288,271,326
591:174,98,318,172,69,197,168,79,483,173
585:462,197,83,479,191,529,137,285,61,582
530:318,69,79,176,210,195,56,423,22,181
106:174,98,172,204,79,196,423,191,195,56
231:181,117,237,742,204,222,1,174,118,125
665:174,204,79,176,195,64,318,69,168,96
473:100,276,7,9,12,50,508,237,56,98
170:332,328,307,323,313,300,748,331,597,291
679:174,98,204,64,173,191,210,22,423,79
526:174,98,172,1,237,56,475,12,258,64
684:174,50,69,210,79,64,195,173,28,423
598:302,272,258,315,328,310,316,307,690,100
609:237,100,1,9,275,204,14,276,25,7
712:195,22,98,69,202,176,28,423,168,183
372:185,174,176,64,195,69,204,96,172,89
333:174,204,172,79,64,318,191,69,210,196
615:174,98,318,204,172,196,64,474,132,483
546:98,174,195,50,183,176,172,96,79,204
704:174,483,479,172,474,64,191,183,357,23
179:328,307,269,286,347,271,750,268,294,301
285:98,174,50,172,64,176,204,195,69,96
71:174,172,12,183,191,318,180,195,474,483
291:210,176,22,183,318,28,89,191,144,196
880:79,50,176,183,64,56,168,173,196,89
226:183,172,195,64,318,79,191,50,96,69
140:269,313,315,258,268,340,100,285,316,272
652:195,204,79,181,237,742,172,22,174,50
873:258,333,307,288,272,332,748,742,315,237
101:1,222,204,174,172,118,96,125,195,7
238:237,117,742,181,222,118,50,1,204,100
52:174,98,69,172,64,50,423,181,79,12
763:174,172,64,183,56,204,96,318,168,181
298:204,69,181,22,96,176,64,318,183,56
872:125,222,181,282,15,597,1,204,313,50
302:333,313,328,331,300,751,310,315,340,258
254:174,98,79,195,176,318,202,96,191,173
748:172,98,204,176,210,183,69,168,64,12
338:98,199,191,132,89,23,318,64,185,496
541:98,195,69,22,96,64,176,423,202,318
367:174,176,172,12,195,79,181,64,96,89
582:174,98,172,127,56,12,237,204,173,64
455:174,195,210,22,318,183,176,168,12,202
282:302,313,340,271,286,268,272,333,307,315
600:98,204,173,69,64,181,12,168,202,144
314:174,172,98,64,196,79,191,385,210,202
465:174,172,204,69,56,483,496,183,168,173
860:174,98,172,69,79,318,210,64,191,173
112:313,258,347,269,326,331,294,301,751,748
432:121,117,1,100,174,172,204,7,98,127
698:174,98,204,183,79,181,168,64,22,69
19:204,174,172,195,98,173,69,191,168,56
377:174,98,12,172,176,183,204,173,79,64
659:172,69,56,22,318,50,168,28,12,132
59:50,22,191,483,144,196,185,474,234,216
495:183,210,69,22,318,12,89,28,191,196
637:174,172,204,98,237,7,127,117,79,173
43:204,50,69,79,210,195,22,176,56,183
216:204,195,69,96,318,176,181,183,173,12
309:302,328,333,307,313,300,301,294,327,272
941:50,174,1,172,100,222,173,195,96,121
124:174,172,176,204,79,183,385,210,202,22
153:174,98,64,79,195,318,204,172,22,12
