81:117,100,50,151,181,508,222,742,15,24
399:268,258,28,90,64,697,959,50,98,366
890:180,205,432,528,183,64,511,443,526,200
385:23,607,192,611,482,1401,478,429,175,209
751:173,318,83,143,421,89,22,403,153,258
34:874,887,904,311,270,305,302,340,306,880
194:180,511,64,357,498,79,177,136,172,651
325:608,657,481,675,179,489,185,484,209,483
414:340,268,271,258,327,333,354,315,316,332
730:258,181,222,248,255,117,294,250,288,408
560:408,269,100,50,367,56,1012,124,195,340
886:92,210,168,568,238,96,70,203,232,55
355:323,327,683,259,270,532,1296,880,538,350
606:50,318,742,117,317,210,9,98,240,685
595:1017,273,285,150,762,100,628,324,240,458
478:238,655,23,9,284,506,411,56,92,742
489:895,350,362,333,328,310,342,905,258,299
672:288,1163,283,19,235,255,1,15,696,678
402:275,276,1,405,435,248,121,274,294,194
830:96,367,70,216,66,79,204,318,132,684
739:310,322,689,300,194,315,435,316,347,651
392:408,124,514,480,286,656,515,100,479,221
907:742,300,220,222,147,11,276,181,328,9
648:391,739,222,566,50,648,229,163,67,205
29:315,268,301,289,751,900,258,750,347,321
166:326,307,748,895,879,310,689,272,332,315
591:514,197,9,275,509,318,286,582,1101,137
585:714,512,745,1195,694,1396,1194,57,462,285
530:286,1,813,9,86,300,111,471,515,185
106:286,70,79,435,736,197,714,83,88,283
231:118,148,237,125,15,322,147,117,281,591
665:288,100,151,508,475,11,628,318,237,276
473:100,248,276,508,922,408,93,9,242,896
170:307,328,300,264,879,680,332,717,258,330
679:258,173,210,98,313,22,91,746,588,174
526:124,272,1,304,275,283,255,300,286,258
684:50,225,210,95,294,174,274,216,423,125
598:322,315,304,879,328,751,306,259,326,316
609:321,283,1,301,294,315,255,259,313,275
712:73,710,966,419,88,843,393,29,783,720
372:508,334,236,271,307,39,288,1244,569,258
333:194,210,216,70,202,50,174,173,197,515
615:318,170,59,514,212,9,582,302,660,285
546:1090,573,452,326,895,665,307,333,674,559
704:613,482,302,357,132,479,612,657,194,367
179:332,347,326,327,301,682,345,307,344,898
285:286,302,50,181,258,751,301,127,173,222
71:285,318,100,302,50,603,238,512,124,9
291:559,241,959,65,42,217,928,118,672,409
880:255,4,50,95,1,268,272,161,346,562
226:50,181,100,1,222,515,210,276,333,475
140:315,269,301,306,347,305,313,242,258,874
652:300,258,294,313,50,326,222,1,181,286
873:258,286,50,272,307,332,270,751,181,315
101:1,125,118,15,294,258,300,100,282,222
238:237,258,294,288,304,118,1,255,100,126
52:9,286,283,276,272,14,50,121,313,248
763:83,190,168,56,86,70,9,174,435,203
298:132,64,427,204,318,511,180,181,480,234
872:125,748,332,326,280,866,294,322,147,15
302:315,302,258,313,272,286,300,269,326,751
254:174,96,215,71,193,265,318,95,434,227
748:194,210,100,168,1,10,211,183,172,491
